City,KmWalk_sea,KmWalk_WB
Punta Arenas,7.9,
Antofagasta,21.2,
Arica,10.1,
Valparaiso,11.5,
Viña del Mar,12.4,
Santo Domingo,2.2,
Laraquete,1,
Tongoy,2.5,
Quintero,4.3,
Cartagena,4.2,
Coquimbo,7.85,
Constitución,3.7,
Futrono,0,
Los Vilos,3.4,
Huasco,3.5,
San Antonio,3.45,
Concón,7.2,
El Tabo,1.77,
Tomé,1.85,
la Unión,0,
Gran valparaíso,31.7,
Iquique,10.7,
Porvenir,1.7,
coronel,3.55,
algarrobo,1.2,
calbuco,5.3,
Tocopilla,2.95,
puerto montt,4.9,
puerto williams,1.6,
nueva imperial,0,
Puerto Natales,3.1,
Panguipulli,0,
Mejillones,0.4,
La Serena,4.3,
Frutillar,0,2.1
Carahue,0,2.2
Castro,0, 1.55
Alto Hospicio,0,
Río Negro,0,
Penco,1.5,
Lebu,0, 1.8
Puerto Varas,0, 3.2
Valdivia,0,3
Melipilla,0,
Casablanca,0,
Cañete,0,
Río Bueno,0,1.1
Chicureo,0,
El Monte,0,
Hijuelas,0,
Villarrica,0, 1.8
Pozo Almonte,0,
Quinta de Tilcoco,0,
Macul,0,
Cauquenes,0,
Quillota,0,
Illapel,0,
Longaví,0,
Colina,0,
Coyhaique,0,
Pitrufquén,0,
Providencia,0,3.2
Santiago,0,4 /costanera para santaigo centro 
Santiago,0,16.6 /costanera para el gran santiago
Pucón,0, 0.55
San Felipe,0,
curanilahue,0,
Ovalle,0,
Pañalolen,0,
Las Condes,0,
Ñuñoa,0,
Pedro Aguirre cerda,0,
Santa Cruz,0,
Lo Prado,0,
Quilpue,0,
Isla de Maipo,0,
Lo Miranda,0,
Calama,0,
Hualañe,,
San Miguel,0,
Monte Aguila,0,
osorno,0, 0.75
Villa alemana,0,
gran Temuco,0,1.8
La Florida,0,
La Granja,0,
Linares,0,
Lota,0.4,
Los angeles,0,
La Reina,0,
Rancagua,0,
Gran Concepción,0,7.9
Temuco,0,1.5
San Bernardo,0,
Vicuña,0,
Copiapó,0,
Vitacura,0,8.8
Angol,0,
Nacimiento,0, 0.1
Traiguen,0, 0.1
Quinta Normal,0,1
Puente Alto,0,
Renca,0,
padre de las casas,0, 0.3
Pudahuel,0,
Doñihue,,
Huechuraba,0,
Concepcion,0,1
Cerro Navia,0,
talagante,0,
La Calera,0,
San fernando,0,
El quisco,6,0,
hualpén,0,
san carlos,0,
rengo,0,
curacaví,0,
la cruz,0,
lampa,0,
combarbalá,0,
maipú,0,
renaico,0,
talca,0,
punitaqui,0,
curicó,0,
victoria,0,
teno,0,
putre,0,
huépil,0,
cochrane,0,
machalí,0,
salamanca,0,
limache,0,
Los Andes,0,
Gorbea,0,
monte patria,0,
lo espejo,0,
llanquihue,0,1
talcahuano,0.5,
graneros,0,
chillán,0,
villa alegre,0,
conurbación chillan,0,
santa maría,0,
lo barnechea,0,
putaendo,0,

